,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
FHYVX,0.0740025930184884,-0.0009111649361134,-0.173536875445099,0.2790491383844224,0.0299803673942813,0.1249680999039157,0.1125255097883144,-0.0660661824558299,0.1393879292979647,0.0316231216500144,0.0098075636853198,0.039109108055626,0.0207340302085798,0.0776217282181914,0.0575930192388465,0.049846359578336,-0.139097052469298,0.0615973875615363,0.0648545447352106,0.036665416622206
RECS,,,,,,,,,,,,,,,0.1441407650881021,0.3455718056776549,-0.1460354611125763,0.2330667306499227,0.270004001348642,0.2015539364326262
VTSAX,0.1380397253295371,0.0562816691227279,-0.3610062753165524,0.2496816913441908,0.1527716045809912,-0.0011640817857355,0.1466305154791154,0.301563038133499,0.1357611225635318,0.0043082322406498,0.1442618281681713,0.2017846624767372,-0.0595849747566323,0.3066487187046318,0.200801489598454,0.275881716432913,-0.1998967645163991,0.2653183245535087,0.24530280656309,0.1820406043863347
URINX,,,,0.2371644766149028,0.1090339710373393,0.0158991882030528,0.0948222768027182,0.0494210124121063,0.0371769021148471,-0.0194989794073241,0.0685387046434771,0.0838395940976071,-0.0307249565022268,0.1173035428857005,0.0854229090914653,0.0665067447834417,-0.1029305015676729,0.1090135043395472,0.0762119927972115,0.1265751834993269
VOHIX,0.048747472349429,0.0327427817613421,-0.0294894140739031,0.1305501881269115,0.0117027449899687,0.1001360500770154,0.0767529158921895,-0.0314165415842083,0.1113306698126197,0.0410496265295246,0.007564169869489,0.0633670276607252,0.0096623091705028,0.0800775972819598,0.0688907155304769,0.0214667279781508,-0.1100067944016428,0.0666314434128116,0.0216829330711838,0.0354554986287989
CGIE,,,,,,,,,,,,,,,,,,,0.0223498924136964,0.2881194736562649
ENFR,,,,,,,,,0.1346454087695696,-0.3767760507334737,0.3932363681672477,-0.0081545420356775,-0.1964345832917728,0.1923977138107562,-0.242460213449524,0.4113162563561188,0.1540783008173647,0.1769069445945084,0.4192113033189344,0.0455709622883817
UOPIX,0.0106006293079623,0.278412211098112,-0.7168020451637256,1.0082040863148132,0.3221475973620926,-0.0358307234138134,0.3378379644877882,0.6916416310397331,0.3845054247981594,0.1413755133971312,0.1387906520124291,0.6548402881875104,-0.1250517153231197,0.7890327072203023,0.8073103459022202,0.5794613853906672,-0.6152588380491251,1.191736634779378,0.4677854306173372,0.3301608621219891
SVSPX,0.1371967109242611,0.0548744715005571,-0.3609354050490803,0.2233801656761695,0.1316865184291569,0.0072651503620742,0.1420253322962765,0.2881519195600501,0.1455284761633586,0.0126696292709542,0.1347754199612778,0.2067429268324316,-0.0564105647272457,0.3110286399262456,0.1749289394111015,0.3030856469740206,-0.188215089446694,0.2671856594937616,0.256080831145256,0.1887447511041717
FDSSX,0.1111919518928186,0.1181828716477935,-0.4087158760105637,0.2477377787659287,0.1686041745960591,-0.0624820985768036,0.1601560892504339,0.3111254412125144,0.1189864795015802,-0.0005010471965187,0.1151564325670708,0.2417194408232126,-0.0947120981829834,0.3207727485134142,0.2396881080441895,0.2502722510598096,-0.1999084088626406,0.2765558670466335,0.2076695482682855,0.1980229083071176
BIOPX,0.1088502383544716,0.2054794961452548,-0.449768087684574,0.5567567027771323,0.229787066056053,-0.0731374757195846,0.1277979273103187,0.3435291998686092,-0.0033051866473674,0.0161696731552944,-0.0175490978049345,0.3898298227306569,0.0649082586669933,0.4106134779080532,0.8609255519361076,0.1371891033773924,-0.4300555390036304,0.5122160860291218,0.4312093941750883,0.1996615879590813
FSTFX,0.0294852013325548,0.044452228216975,0.0333537438339506,0.0585021323930576,0.0182972838128758,0.0432635717838632,0.0224464212387811,0.0019847543574278,0.0220810050227495,0.011060254683191,-0.0053404458774187,0.0225899398529314,0.0129521977540769,0.0410337530707398,0.0325548578438241,0.0037910135350212,-0.0456890086366341,0.0374848393425892,0.0225626844409105,0.0417901241681888
PRSIX,0.0871188157267695,0.0708187228214269,-0.2019858153975841,0.2383104766427537,0.1063590483357224,0.0032022967164497,0.1252514159693756,0.1079222999477993,0.0496176669764452,-0.0007972740769068,0.0708382024897171,0.124217264267004,-0.0300688299194531,0.1512002676616659,0.1113930891610071,0.0752381958904722,-0.1361213150611632,0.1171729644679755,0.0905654408766285,0.1218008150945433
BSPSX,,,,,,,,,0.1438626421077351,0.0118338323239479,0.1341527926936701,0.2052706296490958,-0.0535573648290921,0.3103666026348968,0.172198714434989,0.3031844800870289,-0.1880919106009339,0.2651867595544535,0.2541394645469197,0.1873341898938705
HRIOX,,,,,,,,,,,,,,,,,-0.2585700514713401,0.3177916684335564,0.2155782369826895,0.4152804235934197
AVDV,,,,,,,,,,,,,,,0.040014028145737,0.1573813829580757,-0.1195673103769643,0.1672236554401283,0.0981240606945739,0.498677835229917
FFRHX,0.0639924843702526,0.0272706272885938,-0.165495511686219,0.2872619186676342,0.0724727380525509,0.0153147721094408,0.0672304790557054,0.0383806059278177,0.0032713049400132,-0.0114350078035668,0.100823001258745,0.0380792164765411,0.0011378471269014,0.0865352994300259,0.0169533591121624,0.0545879189325806,-0.0039982371598525,0.1264429268189153,0.0860517635404207,0.0434038313275426
PAGRX,0.0703615229247791,0.0469935207715863,-0.3652084675547077,0.2597760065116135,0.1560889745221141,-0.0889655551419557,0.1780124115579873,0.3891105969711654,0.0725885577871008,-0.1145343317714446,0.1532022314493559,0.196158531754548,-0.1360892617471288,0.2706234771467106,0.3578707968223813,0.2564598829932387,-0.2624248636767361,0.3980082587741267,0.4639902017244315,0.3754051854326135
PEIZX,0.1712933189259082,0.0338951675476579,-0.4199837347692648,0.3659130287618468,0.1103397507270353,-0.0686970134782551,0.1185219164709936,0.2974986882195747,0.1067862388011182,-0.0845214065564965,0.1249979747142495,0.1556873317341272,-0.1100932928029392,0.2549155594872021,0.0258160880608073,0.2913829807311954,-0.0876191156319349,0.1560251327458848,0.2028488716653071,0.1765938605819661
ARKQ,,,,,,,,,,-0.0140530118368953,0.1682448247002363,0.5036433105804479,-0.1007397789793208,0.2563000520402123,1.030909124493574,0.0101642469423179,-0.4791719629456537,0.4250432156260677,0.3689526869040116,0.5132850630281542
MART,,,,,,,,,,,,,,,,,,,0.1585534076972876,0.1516409434792487
RPMFX,,,,,,,,,,,,,,0.2182796602521268,0.0409187477524704,0.2630066264556361,-0.0430268222589915,0.2367792771491961,0.1550167879831765,0.0688397914689689
AHLT,,,,,,,,,,,,,,,,,,,0.0719519846891736,0.1435987874007904
BERIX,0.0802486024293445,0.0650617845963696,-0.1018971100046426,0.2957424791143921,0.0953828493302231,0.0272793404895006,0.0753567109399302,0.1496979220607253,0.0361271918204622,-0.0343576788594877,0.0891097171395953,0.0368852479958401,-0.010382724424214,0.0943387472423782,0.0432438510072776,0.0791362423216823,-0.0993692243241423,0.0699564217071231,0.0762012904392315,0.134405334394571
ALARX,0.160027915766725,0.3186484293932066,-0.4339796214569525,0.4498275157829865,0.1104557934318641,-0.0204238023375219,0.1629938150765144,0.3153920909564418,0.1461130968747135,0.0647990686722261,0.0223340006838896,0.2983105837398423,-0.0220613739090616,0.3326826910889131,0.3928043978190818,0.2010758490649125,-0.3731782175142121,0.4385223373529821,0.5201166720812249,0.3190797813458566
FSKAX,,,,,,,0.1463873768599579,0.3007871932186565,0.135017758365004,0.0048563387798583,0.1444996895895203,0.2021325341886293,-0.060900404048183,0.3079294178525968,0.1989174784641689,0.275311297433402,-0.2001227803243902,0.2665951878039303,0.2468325767562826,0.181336010781604
INPFX,,,,,,,,0.1125661354678071,0.0710776349165547,-0.0260984853758539,0.1074082086644101,0.1106669626631176,-0.0386719768501355,0.1595458065257042,0.0534223471425256,0.1341871764151287,-0.0860461815729636,0.092872614611656,0.0945214107943315,0.1460775382762575
POAGX,0.2006378803773159,0.0002261276207431,-0.3315016467751198,0.4664570043792952,0.1984313815734095,-0.0197248149707527,0.202469177733003,0.5053883581495362,0.1700608100209624,0.0498216530926647,0.1447944672105194,0.3276533919079525,-0.0848588828362587,0.2319841889476921,0.27943069590206,0.110895633601997,-0.2518912848162769,0.2578517935249711,0.1378281226151447,0.2906359568135372
VWNFX,0.1637400740568888,0.0191364859260954,-0.3579499620659742,0.2322306829913152,0.0895947488451356,0.0160464165918989,0.1483617996326087,0.2768029295338035,0.1241026131035132,-0.030979023432359,0.1482112988080726,0.1567169330940598,-0.09362468488885,0.2844407906314343,0.133565740421242,0.304594561273307,-0.1378438490022262,0.2104514544979574,0.1407555799271451,0.1967303233685591
SWTSX,0.1372140508861492,0.0541036344622292,-0.356705492583957,0.2455823132154233,0.1530772599288039,0.0008834448707273,0.1461479087086692,0.30025634524418,0.1338638555799718,0.0048461604433833,0.1436179684248248,0.2007959109241448,-0.0614272401181741,0.3077673494077095,0.1980997157313091,0.2750853715855046,-0.20025817932052,0.2659538015846516,0.2462902891351037,0.180957566680278
FMHTX,0.0434637864818536,0.0374844645734153,-0.0031230001976275,0.101092462678995,0.0200396916279321,0.0912620693319039,0.0619731025606791,-0.0274261596158107,0.0924497048968584,0.0354100798027099,-0.0038375410310845,0.0558698550967555,0.0090148729194672,0.0707809943961146,0.0493949380172222,0.0155425824442949,-0.0936467279675409,0.0571944127361581,0.0198000725852365,0.038606832249179
SPBU,,,,,,,,,,,,,,,,,,,,
DADS,,,,,,,,,,,,,,,,,,,,
PSIFX,0.1362668283525459,0.0535951182454621,-0.361866247756642,0.2231284612604502,0.1294414635259653,0.0087372189367391,0.1394727240135562,0.2876530505189256,0.1444569689905634,0.0121269609104321,0.1333560025438667,0.2060742541634781,-0.0578383585492491,0.3124803149180506,0.1730837584939442,0.3015276308359809,-0.1896177447963792,0.2689932564170139,0.2545054745150663,0.1872687156361843
VTIVX,0.1416254664043679,0.0729210990816697,-0.3385458862585812,0.2501414126872108,0.1321254206981279,-0.034206693344056,0.1361785300026585,0.2178406057805224,0.0813534855930862,-0.0143911825950564,0.1053658512449264,0.2059916393791079,-0.08626325382628,0.2500570141907616,0.1537331214698101,0.1695193125713465,-0.1763787794904094,0.1949847680339984,0.1475317481679969,0.2075740262735796
